"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2007";"       ."
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2008";"    3234"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2009";"    2253"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2010";"    2189"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2015";"    2257"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2016";"    2297"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2017";"    2465"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2018";"    2358"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2019";"    2242"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2020";"    2140"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-30, 33 Metalektro";"2021*";"    2220"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2007";"    3012"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2008";"    2926"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2009";"    2006"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2010";"    1907"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2015";"    1905"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2016";"    1922"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2017";"    2037"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2018";"    2023"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2019";"    1922"
"Totaal naar verwerking";"Totaal nuttige toepassing";"24-25 Basismetaal, metaalprod.-industrie";"2020";"    1827"
